
Price,Bed_number,Bath_number,Square_foot,Info4,Description,Content,Name
"$5,200 per month",4 Beds,1 Bath,"2,800 Sq Ft",Townhouse for Rent,,"64 Chetwynd Rd, Somerville, MA 02144",
"$11,700 per month",6 Beds,2 Baths,"3,000 Sq Ft",Townhouse for Rent,,"50 Curtis Ave, Somerville, MA 02144",
"$2,995 per month",3 Beds,1 Bath,"1,235 Sq Ft",Condo for Rent,,"585 Broadway Unit 2M, Somerville, MA 02145",
"$4,050 per month",3-4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED 1 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2025!Features:~ laundry in unit~ dishwasher~ yard~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions","29 Chetwynd Rd, Somerville, MA 02144",
"$4,600 per month",3-6 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED 1 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2024!Features:~ laundry in building ~ great storage~ balcony~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","102 W Adams St Unit 2, Somerville, MA 02144",
"$5,000 per month",4-5 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 5 BED 1 BATH FOR RENT!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ balcony ~ hardwood floors~ high ceilings ~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions","15 Curtis Ave, Somerville, MA 02144",
"$5,000 per month",3-4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED 1 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2025!Features:~ laundry in unit~ dishwasher~ yard~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions","29 Chetwynd Rd, Somerville, MA 02144",
"$5,200 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED 1 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ modern kitchen/bath~ hardwood floors~ high ceilings~ large rooms~ good storage ~ flooded with lightCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","19 Sunset Rd Unit 1, Somerville, MA 02144",
"$6,375 per month",4-5 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 5 BED 1 BATH FOR RENT!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ balcony ~ hardwood floors~ high ceilings ~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions","15 Curtis Ave, Somerville, MA 02144",
"$4,000 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED 1 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 9.1.2024!Features:~ laundry in building~ dishwasher~ parking for rent~ hardwood floors~ high ceilings~ large rooms ~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","56 Gordon St Unit 2, Somerville, MA 02144",
"$7,800 per month",6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 5 BED 2 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2025!Features:~ laundry in unit~ dishwasher~ 3 parking spaces included~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","16 Chetwynd Rd Unit 1, Somerville, MA 02144",
"$7,000 per month",5 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 5 BED 2 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2025!Features:~ laundry in building ~ dishwasher~ modern kitchen/bath~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","14 Curtis Ave Unit 1, Somerville, MA 02144",
"$4,900 per month",4 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED 1 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2025!Features:~ great storage~ common area~ large rooms~ high ceilings~ hardwood floors~ balcony ~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","34 Chetwynd Rd, Somerville, MA 02144",
"$12,000 per month",6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 8 BED 4 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2025!Features:~ laundry in unit~ dishwasher~ fully furnished~ modern kitchen/bath~ hardwood floors~ high ceilings~ heat natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","741 Broadway Unit 2, Somerville, MA 02144",
"$6,400 per month",3-6 Beds,1.5 Baths,"9,999 Sq Ft",Condo for Rent,"BEAUTIFUL 3 BED 1 BATH FOR RENT IN SOMERVILLE!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ modern kitchen/bath~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","2 High St Unit 4, Somerville, MA 02144",
"$2,500 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,"Sunny & well lit West Somerville 2 bed, 1 bath available 3/1! Open concept dining/ living area with additional space located off of the living room, would make a nice office or sitting area. Front deck and sunroom as well! 2 generous sized bedrooms. Additional storage space in the basement and attic. Rear deck off of the kitchen. Laundry located in the basement & 1 garage spot! Move in costs:","27 High St Unit 27 High Street, Somerville, MA 02144",
"$2,650 per month",1 Bed,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 1 BED FOR RENT IN SOMERVILLE!AVAILABLE 8.1.25Features:~ hardwood floors~ modern kitchen~ good natural lighting~ tall ceiling~ modern bathCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from sources","25 Moreland St Unit 3, Somerville, MA 02145",
"$3,400 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"LARGE 2 BED FOR RENT IN SOMERVILLE!AVAILABLE FOR 9.1.25! Features:~laundry on site  ~dishwasher ~gas range ~tall ceilings ~dishwasher and disposal CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from sources","6 Hinckley St Unit 1, Somerville, MA 02145",
"$3,100 per month",2 Beds,1 Bath,"1,000 Sq Ft",Townhouse for Rent,,"482 Broadway, Somerville, MA 02145",
"$3,500 per month",2 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"2 bedroom one bath with updated kitchen including dishwasher/disposal . Located in the Ball Square / Tufts Neighborhood of Somerville. A quick walk to Davis Square and less than 0.1 Miles to the new Greenline station in Ball Square, 741 Broadway offers its residents convenient access to greater Boston and all that Somerville has to offer. Washer/dryer in unit.","741 Broadway Unit 2, Somerville, MA 02144",
"$3,400 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 2 BED FOR RENT IN SOMERVILLE!AVAILABLE 9.1.25Features:~ dishwasher~ good natural lighting~ modern kitchen~ hardwood floors~ granite counter topsCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","6 Hinckley St Unit 1, Somerville, MA 02145",
"$4,450 per month",3-4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED FOR RENT IN SOMERVILLE!AVAILABLE 6.1.2025Features:~ rent includes water~ hardwood floors~ spacious living area~ good natural lighting~ tall ceiling~ modern kitchenCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions","102 W Adams St Unit 2, Somerville, MA 02144",
"$7,000 per month",5 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 5 BED FOR RENT IN SOMERVILLE!AVAILABLE 6.1.25Features:~ hardwood floors~ tall ceiling~ spacious living area~ good natural lighting~ modern kitchenCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","14 Curtis Ave, Somerville, MA 02144",
"$7,500 per month",6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 6 BED FOR RENT IN WEST SOMERVILLE!AVAILABLE 6.1.2025Features:~ laundry in unit~ 3 parking spots included~ hardwood floors~ modern kitchen~ dishwasher~ good natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions","16 Chetwynd Rd, Somerville, MA 02144",
"$5,200 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED FOR RENT IN SOMERVILLE!AVAILABLE 6.1.2025Features:~ hardwood floors~ good natural lighting~ spacious living area~ modern kitchen~ tall ceilingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information","19 Sunset Rd, Somerville, MA 02144",
"$4,800 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED FOR RENT IN SOMERVILLE!AVAILABLE 6.1.25Features:~ hardwood floors~ modern kitchen~ tall ceiling~ good natural lighting~ spacious living areaCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","139 College Ave, Somerville, MA 02144",
"$2,995 per month",3 Beds,1 Bath,"1,235 Sq Ft",Condo for Rent,"Central & Bustling LocationLocated in the heart of Somerville, 585 Broadway offers a vibrant and convenient setting with easy access to dining, shopping, and public transportation. Situated along a key thoroughfare, this location provides both urban convenience and neighborhood charm.Key Highlights:•Transportation: Well-connected by public transit, with bus routes along Broadway","585 Broadway Unit 3-bed SOMER, Somerville, MA 02145",
"$7,000 per month",6 Beds,1.5 Baths,"2,000 Sq Ft",Condo for Rent,,"4 High St, Somerville, MA 02144",
"$3,750 per month",3 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,,"2 High St, Somerville, MA 02144",
"$6,500 per month",5 Beds,1 Bath,"1,800 Sq Ft",Condo for Rent,,"24 Chetwynd Rd, Somerville, MA 02144",
"$3,800 per month",4 Beds,1 Bath,"1,800 Sq Ft",Condo for Rent,,"34 Bay State Ave, Somerville, MA 02144",
"$11,200 per month",6 Beds,3 Baths,"2,000 Sq Ft",Condo for Rent,,"741 Broadway, Somerville, MA 02144",
"$5,100 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"19 Sunset Rd Unit 1, Somerville, MA 02144",
"$7,350 per month",6 Beds,2 Baths,"2,400 Sq Ft",Condo for Rent,"Newly renovated large 2 story unit in Davis square/Ball Square location. In unit laundry, free driveway parking (shared with 1st floor unit).","268 Willow Ave Unit 7-bed, Somerville, MA 02144",
"$4,800 per month",4 Beds,1 Bath,"1,350 Sq Ft",Condo for Rent,"Close proximity to Tufts University and easy walk to Davis Square.6 room duplex, about 1350 sf. One bath. Duplex layout occupies all of the first floor with 2 bedrooms on that level and 2 bedrooms on second floor. Spacious rooms, high ceilings Eat in kitchen with dishwasher and gas stove. Wood floors and charming woodwork details. Enclosed rear porch. Shared yard. Newer windows. Gas heat","24 Dearborn Rd Unit 4-bed 1-bath #1, Somerville, MA 02144",
"$3,450 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"43 Upland Rd Unit 1, Somerville, MA 02144",
"$3,600 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"100 W Adams St Unit 2, Somerville, MA 02144",
"$6,000 per month",5 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,!!! A  Location...Remarkable Value  !!!Tons of Natural LightFront Facing UnitHardwood FloorsRecessed LightingEat-In KitchenDishwasherEnormous Living RoomSizable BedroomsTandem Parking AvailableLaundry in Building,"183 College Ave Unit 2, Somerville, MA 02144",
"$3,000 per month",Studio-3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"Welcome to Hinckley St. a vibrant and sought-after location in Somerville. This two-bedroom apartment offers a cozy and inviting living space, perfect for individuals or couples seeking a comfortable and convenient home.The living area is a bright and inviting space, featuring large windows that fill the room with light. The apartment is conveniently located near public transportation,","6 Hinckley St Unit 1, Somerville, MA 02145",
"$2,650 per month",1 Bed,1 Bath,750 Sq Ft,Condo for Rent,"This 1-bedroom, 1-bathroom apartment at 25 Moreland St offers 750 square feet of living space. The living room provides ample room for relaxation and includes access to natural light. The bedroom is designed for comfort and includes sufficient closet space. The bathroom features standard fixtures and is conveniently located near the bedroom. Residents will benefit from on-site laundry facilities","25 Moreland St Unit 3, Somerville, MA 02145",
"$3,300 per month",3 Beds,1 Bath,940 Sq Ft,Condo for Rent,"Nestled in the heart of Ball Square and just steps away from the Green Line - Ball Square station (approximately 475 feet), this cozy and spacious 3-bedroom, 1-bathroom apartment will be available on 1/1/25. Pet-friendly and perfectly situated, it offers convenient access to local restaurants, bike lanes, and everything Somerville's Ball Square neighborhood has to offer. Pet Rent is $25 per cat,","114 Rogers Ave Unit 2, Somerville, MA 02144",
